year,sp,id,sex,marked,lifespan,cop,tbl,abl,thorl,thorw,fwl,hwl
2013,CV,ugy,Male,2013-7-5,0,0,48.44727572,40.22089302,5.5997882,2.178644447,33.21595882,32.3242407
2013,CV,vcr,Male,2013-7-1,6,0,46.3192711,37.89367078,5.872494602,2.396617505,32.61447581,31.50202706
2013,CV,ycdb,Male,2013-6-28,0,0,48.83738874,40.04891192,5.916271078,2.206312192,32.66987146,31.55673055
2013,CV,ydblb,Male,2013-6-12,0,1,48.30574966,39.97968022,5.837392151,2.130317489,34.5817211,33.23018756
2013,CV,yfc,Male,2013-6-12,0,1,46.98455291,38.54488897,5.702961197,2.330928507,31.83219726,31.16713327
2013,CV,ymlb,Male,2013-6-12,0,0,45.30844445,37.65962856,5.322424523,1.68098572,30.21488901,29.48697484
2013,CV,yoc,Male,2013-7-9,11,0,45.97695606,38.05833482,5.446808511,2.299447844,31.64743818,30.84491344
2013,CV,cgo,Male,2013-6-24,0,0,45.6579782,37.60354649,5.428326356,2.106490434,31.73375733,31.1564749
2013,CV,cpy,Male,2013-6-6,2,1,47.9191308,39.07034202,5.860958751,2.169482564,32.68957615,32.24292939
2013,CV,crc,Male,2013-6-6,6,0,47.27851079,38.78751999,5.774430455,2.149041497,31.83128009,31.1744597
2013,CV,cwo,Male,2013-6-12,6,0,42.16459266,33.62779251,5.70407239,2.235663039,33.25743234,32.61622851
2013,CV,cwo,Male,2013-6-12,6,0,42.16459266,33.62779251,5.70407239,2.235663039,33.25743234,32.61622851
2013,CV,mrv,Male,2013-6-15,0,0,46.3898931,38.08725181,5.501388771,1.987398052,32.43683333,31.63663202
2013,CV,mrv,Male,2013-6-15,0,0,46.3898931,38.08725181,5.501388771,1.987398052,32.43683333,31.63663202
2013,CV,myy,Male,2013-6-17,3,0,47.04659952,38.30156602,5.854931024,1.875360234,31.97584098,31.26102787
2013,CV,olbw,Male,2013-6-8,12,0,46.98240908,38.65185112,5.810419763,1.901251643,31.89640239,30.93972593
2013,CV,oru,Male,2013-6-8,11,0,43.00217625,35.39554949,5.30879844,2.047975958,32.56447171,31.90352555
2013,CV,psdb,Male,2013-6-8,12,0,45.53454457,36.86521275,6.039443311,2.261733152,33.59626811,32.6845127
2013,CV,psw,Male,2013-6-8,2,0,46.4402779,37.54949653,6.129469295,2.472574787,33.65876541,32.802118
2013,CV,pus,Male,2013-6-10,1,0,46.74592044,37.87282452,5.804456539,1.979752649,32.18034113,30.86975529
2013,CV,pus,Male,2013-6-10,1,0,46.74592044,37.87282452,5.804456539,1.979752649,32.18034113,30.86975529
2013,CV,sos,Male,2013-6-18,2,0,48.09138069,39.8396344,5.787429596,2.110247905,33.30801976,32.37670444
2013,CV,cpp,Male,2013-7-4,0,0,47.52452846,39.24351434,5.498631461,1.874273663,31.52172839,30.75866276
2013,CV,crm,Male,2013-6-6,0,0,45.21673074,37.48451317,5.107978474,2.130317489,30.3843074,29.53275132
2013,CV,cry,Male,2013-6-6,3,0,46.59768771,38.53191489,5.51868303,1.957909289,32.23906768,31.46175781
2013,CV,csy,Male,2013-6-5,0,0,43.06980553,34.94124927,5.88131445,1.85106383,32.94304893,32.41075918
2013,CV,cwc,Male,2013-6-5,0,0,47.74718865,39.49082903,5.447847308,1.978837791,32.39213528,31.8348985
2013,CV,cvdb,Male,2013-6-6,5,0,46.89649854,38.43565051,5.731150338,2.333160872,33.98644749,33.58772503
2013,CV,cvg,Male,2013-6-6,0,0,46.98901849,38.75159717,5.437200635,2.074768118,32.81727982,32.11449271
2013,CV,cwv,Male,2013-6-5,0,0,47.63844516,38.82550253,6.010478251,1.943637692,33.4422007,32.65146064
2013,CV,cwy,Male,2013-6-5,0,0,48.84131881,39.922469,5.686545875,2.089010674,33.85735464,33.17039646
2013,CV,cydb,Male,2013-6-5,14,0,49.28664966,40.2117584,5.531423873,1.950612491,33.1885353,32.48929812
2013,CV,dbcp,Male,2013-6-5,11,0,47.44074477,37.83226424,5.795519726,1.878254682,32.52663704,31.63457034
2013,CV,owv,Male,2013-6-8,0,0,47.22523399,38.36977883,5.882199556,2.256924358,33.19683752,32.13447777
2013,CV,psg,Male,2013-6-4,0,0,49.48981906,40.76604628,5.851218567,2.200148149,33.05957229,32.26251506
2014,CV,cmm,Male,2014-7-6,0,1,45.17021778,37.12775712,5.446974732,2.44717851,29.35072878,28.77996383
2014,CV,cwlb,Male,2014-6-25,0,0,48.0800082,39.84697983,5.50323992,2.242234222,28.68536837,15.687252
2014,CV,flbg,Male,2014-6-28,0,0,43.03644744,35.6198555,4.853349592,2.288594351,26.38602289,26.06405497
2014,CV,fov,Male,2014-7-16,0,0,45.36781425,37.55219696,5.397256316,2.085540554,28.01595072,27.24617983
2014,CV,ggdb,Male,2014-6-7,0,0,45.21541419,37.85279199,5.278139788,2.319246533,27.72675944,13.99789442
2014,CV,lbcu,Male,2014-6-9,1,0,46.26074563,38.421155,5.151089755,2.117101463,29.08714515,28.21751426
2014,CV,lbdbs,Male,2014-6-6,0,0,45.35304895,38.10164861,5.220575999,2.470376779,29.27678072,27.79580893
2014,CV,pdbw,Male,2014-6-18,0,0,44.99804332,37.32772409,5.16570156,2.227447205,29.86895057,15.27793157
2014,CV,smr,Male,2014-6-15,0,0,47.73786313,39.65702325,5.66057422,2.30583726,32.97467208,32.1176857
2014,CV,uplb,Male,2014-6-10,0,0,47.65298682,39.2999458,5.425907371,2.19314129,29.05342139,15.9215103
2014,CV,wsdb,Male,2014-6-16,0,0,48.96134875,40.5387273,5.829088326,2.384497996,30.18951827,29.69832364
2015,CV,ccf,Male,2015-7-18,0,0,48.14962747,40.35811955,7.792223351,2.328435357,32.76431505,32.75421006
2015,CV,cfu,Male,2015-7-21,0,1,46.45795022,38.14873423,8.309245618,2.365561764,31.82898569,32.12283253
2015,CV,cfv,Male,2015-7-3,0,1,45.97908306,37.51242909,8.466920667,2.524523749,32.0677504,32.19330074
2015,CV,crf,Male,2015-7-3,7,1,43.53111083,36.39268902,7.140242147,2.13825671,31.76172424,31.9011176
2015,CV,csg,Male,2015-7-21,3,1,47.93455677,39.6164931,8.318948438,2.159419186,32.66315723,32.77191389
