year,sp,id,sex,marked,lifespan,cop,tbl,abl,thorl,thorw,fwl,hwl,fpl,fpw
2012,CS,wplb,Male,2012-6-20,0,0,43.6315,35.6451,3.47,3.84,29.9598,28.596,15.5048,9.1351
2012,CS,gcw,Male,2012-6-20,0,0,43.0523,34.9993,3.51,3.77,29.5144,28.2291,16.5616,9.0767
2012,CS,gcc,Male,2012-6-20,6,0,45.4842,36.8604,3.85,4.07,31.8062,30.7192,17.1334,9.9097
2012,CS,gcp,Male,2012-6-20,14,0,44.6116,36.2528,3.99,3.96,30.8975,29.8661,18.4778,9.7343
2012,CS,gclb,Male,2012-6-20,0,0,46.2709,36.9692,3.62,4.1,31.4842,30.2317,13.6678,9.4447
2012,CS,gcg,Male,2012-6-20,0,0,46.4065,37.3572,3.73,4.01,29.692,28.8209,17.1938,9.7997
2012,CS,gww,Male,2012-6-20,0,1,43.8082,35.4339,3.24,3.79,29.436,28.6028,15.8563,9.3245
2012,CS,gwc,Male,2012-6-20,34,1,45.6478,36.1592,3.75,4,31.0132,29.4516,17.5388,9.3001
2012,CS,gwp,Male,2012-6-20,0,1,45.0308,36.7388,3.65,3.99,32.1353,30.8826,18.4282,9.6813
2012,CS,gwy,Male,2012-6-20,0,1,43.101,34.0838,3.51,3.87,30.9254,29.4707,14.6858,8.9821
2012,CS,gdbc,Male,2012-6-21,0,0,45.8898,37.0146,3.61,4.02,30.4504,29.4419,19.7484,9.6571
2012,CS,gwlb,Male,2012-6-21,0,0,44.1684,35.1126,3.71,4.01,31.4231,30.2247,18.245,9.7937
2012,CS,gdby,Male,2012-6-21,0,0,44.4733,35.8122,3.84,3.93,29.7595,28.7514,18.5781,9.8396
2012,CS,gdbr,Male,2012-6-21,0,1,41.7493,34.2705,3.4,3.74,29.1916,27.865,15.8386,9.2147
2012,CS,gdblb,Male,2012-6-21,0,1,42.9313,34.7546,3.33,3.69,29.1238,27.9938,16.4717,8.9685
2012,CS,gpw,Male,2012-6-21,0,1,45.092,36.5421,3.8,3.81,30.7209,29.2791,16.9274,9.2452
2012,CS,gpp,Male,2012-6-21,0,1,44.3287,35.8283,3.93,4.01,30.8877,29.8343,14.9789,8.6868
2012,CS,gpy,Male,2012-6-21,0,1,41.0749,33.3902,3.65,4.05,28.8243,27.2359,15.005,9.3309
2012,CS,gplb,Male,2012-6-21,0,1,45.1982,36.1752,3.81,3.96,31.13,30.0674,17.2928,9.7307
